"discount_pct","line_count","sales","profit","profit_margin_pct","loss_line_pct"
0,4925,1105323.78999999,326718.587199999,29.5586316114668,0
10,96,54952.497,9099.97,16.5597024644758,4.16666666666667
15,52,27558.5215,1418.9915,5.14901171312837,32.6923076923077
20,3706,773939.396000004,91079.9517000002,11.7683570794734,13.7614678899083
30,230,104474.067,-10513.4456,-10.0632108061803,91.7391304347826
32,27,14493.4588,-2391.1377,-16.498047381209,100
40,207,116497.758,-23086.3742,-19.8170115857509,87.43961352657
45,11,5484.974,-2493.1111,-45.4534716117159,100
50,66,58918.54,-20506.4281,-34.8047118954407,100
60,149,7105.94,-6164.3472,-86.7492154451065,100
70,424,40805.266,-40300.5726999999,-98.7631662540808,100
80,301,16980.146,-30565.2692,-180.005926921948,100
